PC1;PC2;
-0.088068048;1.069961307;Caretta_caretta
-0.794069193;0.328450742;Chelydra_serpentina
0.644021097;1.12284114;Cottus_gobio
-0.471098353;-1.085712702;Crocodylus_johnsoni
1.240038172;-2.770725515;Dermochelys_coriacea
2.424750721;1.272541643;Gasterosteus_aculeatus
0.53400689;0.344742377;Gehyra_variegata
-0.351883896;-0.735832766;Kinosternon_flavescens
-1.415528986;0.160143515;Lamna_nasus
-0.465732168;0.378814847;Natrix_natrix
-0.938922727;-0.112015386;Prionace_glauca
0.568723118;-0.013687177;Sceloporus_undulatus
-0.244215438;-0.804349553;Sphenodon_punctatus
-1.347895304;0.531373089;Thamnophis_elegans
-0.063849599;0.465589253;Thunnus_orientalis
0.769723714;-0.152134813;Tiliqua_rugosa
